Team ID , Team  , Region , Country , Track , Section , Size , Status
2096,Central-Calgary,North America,Canada,,High_school,9,Accepted
1955,CGU_Taiwan,Asia,Taiwan,,Undergrad,13,Accepted
2030,Chalmers_Gothenburg,Europe,Sweden,,Overgrad,17,Accepted
2172,CIEI-BJ,Asia,China,,High_school,1,Pending
2079,CLS-London-UK,Europe,Unspecified,,High_school,1,Deleted
2078,CLSB-UK,Europe,United Kingdom,,High_school,12,Accepted
2156,ColegioFDR_Peru,Latin America,Peru,,High_school,19,Accepted
2166,CoLite-West-Point,North America,United States,,Team not yet accepted,1,Pending
2062,ColumbiaU_NYC,North America,United States,,Undergrad,11,Accepted
2045,Concordia,North America,Canada,,Undergrad,7,Accepted
1931,Cornell_NY,North America,United States,,Undergrad,9,Accepted
2161,CPU_CHINA,Asia,United States,,Team not yet accepted,1,Pending
1945,CSU_Fort_Collins,North America,United States,,Undergrad,6,Accepted
2129,CU-Boulder,North America,United States,,Overgrad,9,Accepted
2160,Dalhousie_Halifax_NS,North America,Canada,,Undergrad,10,Accepted
2184,Danci-K8,Europe,Israel,,High_school,15,Accepted
2111,Denver_Biolabs,North America,United States,,Overgrad,17,Accepted
2117,DTU-Denmark,Europe,Denmark,,Overgrad,20,Accepted
1936,Duesseldorf,Europe,Germany,,Overgrad,26,Accepted
1880,Duke,North America,United States,,Undergrad,9,Accepted
1962,Dundee,Europe,United Kingdom,,Undergrad,13,Accepted
1963,Dundee_Schools,Europe,United Kingdom,,High_school,8,Accepted
1968,Edinburgh_OG,Europe,United Kingdom,,Overgrad,15,Accepted
1967,Edinburgh_UG,Europe,United Kingdom,,Undergrad,16,Accepted
2146,Emory,North America,United States,,Undergrad,9,Accepted
2181,EMW_Street_Bio,North America,United States,,Team not yet accepted,1,Pending
1941,EPFL,Europe,Switzerland,,Overgrad,15,Accepted
2131,Ethiopia1,Africa,Ethiopia,,Team not yet accepted,1,Pending
2116,ETH_Zurich,Europe,Switzerland,,Overgrad,13,Accepted
2042,Evry,Europe,France,,Overgrad,18,Accepted
1874,Example,North America,United States,,Overgrad,11,Accepted
1914,Exeter,Europe,United Kingdom,,Overgrad,17,Accepted
2074,FAFU-CHINA,Asia,China,,Undergrad,20,Accepted
2169,FAU_Erlangen,Europe,Germany,,Overgrad,14,Accepted
2114,Freiburg,Europe,Germany,,Overgrad,17,Accepted
1925,Fudan,Asia,China,,Undergrad,12,Accepted
1877,Gaston_Day,North America,United States,,Undergrad,11,Accepted
2089,GDSYZX-United,Asia,China,,High_school,1,Accepted
2128,Genspace,North America,United States,,Overgrad,28,Accepted
1915,Georgia_State,North America,United States,,Overgrad,7,Accepted
2158,Gifu,Asia,Japan,,Undergrad,20,Accepted
2151,Glasgow,Europe,United Kingdom,,Undergrad,14,Accepted
1978,Goettingen,Europe,Germany,,Overgrad,13,Accepted
1930,Groningen,Europe,Netherlands,,Overgrad,17,Accepted
2057,Guanajuato_Mx,Latin America,Mexico,,Undergrad,22,Accepted
1909,Hamburg,Europe,Germany,,Overgrad,24,Accepted
2075,Hannover,Europe,Germany,,Overgrad,17,Accepted
2010,Harvard_BioDesign,North America,United States,,Undergrad,13,Accepted
